F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-122.73,22581.27,15,UK,-6709.41,1091.65,-39.78,13.65,Very high,-0.81,21,-10.03,-2.18,83.4,1241.48,-1248.63,3608.48,-13374.82,-31.68,2.46,278.22,-74.16,-18565.68,7132.02,-65.83,12,385.27,-601.5,-5989.59,16.87,9.24,-11.39,-1304.2,5.6,179.22,9.19,-111.05
12.7,11900.97,9,Europe,-8799.2,-197.42,126.66,11.92,Very high,159.06,1214.22,-9.76,-0.54,240.72,2202.7,243.48,2389.68,-17155.6,-27.36,8.06,312.93,-65.52,-12929.66,-15387.24,33.51,8,-700.81,-509.64,-4166.64,18.68,-2.36,-111.98,-1320.2,0.54,19.72,4.64,403.03
-73.47,2055.63,3,USA,-10772.78,-142.14,-31.1,14.76,Very low,-16.98,1861.5,-1.85,-0,23.85,2964.38,-1552.08,2289.35,-24838.48,-24.75,10.12,391.74,-83.16,-15500.46,6414.06,13.19,6,-454.45,-574.35,-5752.83,13.23,-36.76,-64.25,-2182.26,255.58,280.48,1.49,2333.91
-78.85,20770.35,24,Rest,-12331.65,99.8,76.58,1.09,Medium,115.71,786.39,-11.21,3.36,96,2843.28,-472.08,2239.82,-16332.38,-50.97,2.64,536.61,-47.82,-18245.4,-7291.65,-47,4,364.5,-581.31,-3255.09,14.34,-55.7,-52.4,-2852.48,0.96,179.44,7.76,51.39
-83.1,21903.63,6,UK,-12751.99,535.47,53.04,15.29,Medium,112.08,2338.71,-11.65,-8.66,129.15,1194.68,-470.43,2434.03,-14012.66,-27.93,5.88,411.51,-58.32,-21270.94,-16965.81,-71.67,8,120.1,-498,-8022.51,19.32,-11.2,-44.51,-1690.94,0.2,177.58,3.83,1016.24
-70.04,9275.52,6,Europe,-14124.3,124.26,40.54,15.49,Medium,138.18,2282.04,-7.55,-12.04,102.66,1877.22,1991.01,2767.78,-11668.68,-37.68,17.26,294.99,-47.85,-11599.62,-14790.3,45.22,4,-432.78,-607.71,-2353.5,16.7,-44.98,-92.41,-1668.18,0.52,324.64,1.45,1678.33
-56.23,31172.22,18,UK,-10246.83,-110.05,24.04,15.48,Low,204.3,893.67,-15.4,2.14,89.82,2947.46,1174.92,2602.6,-26121.28,-28.86,0.92,600.18,-69.75,-17502.64,-6714.66,44.46,6,-374.99,-522.84,-4428.96,15.4,-38.58,-85.49,-2515.72,1.54,281.84,4.9,463.25
-49.78,24382.29,18,UK,-9169.22,29.88,-0.12,12.75,Very low,143.73,1908.15,-7.67,-4.38,273.24,2443.6,256.08,2717.07,-17209.26,-27.54,12.9,403.47,-62.61,-6823.98,2139.18,-6.4,10,-5.64,-566.37,-2889.87,18.15,-110.58,-61.75,-2013.74,0.18,188.56,7.58,-161.24
-80.09,16558.17,9,UK,-6694.05,16.2,26.14,14.18,High,15.09,2707.2,-5.11,1.44,309.3,1987,-492.39,2554.4,-3843.48,-38.25,7.16,258.99,-62.4,-17967.38,-10932.51,-39.8,8,-231.6,-851.13,-5334.66,20.17,-6.48,-71.22,-789.98,2.32,194.86,3.1,785.99
-7.97,11801.91,15,USA,-7770.73,380.16,31.8,15.75,High,116.1,2121.42,-3.17,0.28,132.42,2858.32,767.34,2335.11,-12079.58,-23.34,4.78,399.3,-79.32,-19037.56,-4153.47,8.64,6,-177.68,-560.61,-4105.38,16.22,57.76,-114.27,-2495.36,3.6,113.62,3.79,1539.93
-60.92,26687.37,12,UK,-5681.26,69.94,-22.86,15.46,Low,202.74,678.54,-12.24,0.48,217.83,945.3,1880.49,2552.5,-12584.56,-25.92,16.52,385.65,-72.12,-16932.14,-3720.12,51.07,8,-409.77,-729.69,-3188.13,21.11,-48.62,-82.41,-2308.56,4.48,200.26,1.97,1843.03
-51.25,26361.96,6,UK,-13235.85,-225.17,-16.18,18.22,Low,149.28,2178.45,-12.05,-2.22,113.94,1689.88,-868.56,2510.95,-14192.1,-23.1,1.68,299.04,-73.29,-16134.12,-1341.39,46.43,12,105.85,-565.35,-4196.55,18.97,-24.66,-104.69,-2341.34,16.48,209.16,2.85,2951.56
-23.12,15448.65,9,UK,-10891.82,428.04,45.12,12.67,Very low,62.31,802.65,-10,-0.42,129.84,2004.84,1894.41,2178.32,-6723.4,-41.07,5,333.81,-69.9,-12479.32,2919.51,43.14,12,-179.76,-558.21,-4563.36,15.34,34.58,-107.77,-2597.36,0.06,148.86,6.09,-121.04
-46.62,30587.73,15,Europe,-11512.63,993.87,110.62,14.7,Very low,12.84,1343.73,-11.96,-8.16,69.48,1461.58,2207.25,2881.02,-18686.78,-35.88,5.48,743.61,-71.55,-22986.54,481.32,4.59,4,-264.22,-1020.54,-3618.78,11.04,74.3,-105.49,-1057.8,28.66,221.48,2.79,173.89
-91.49,8890.53,0,UK,-13766.94,-0.93,-114.86,12.88,Very high,84.45,1204.92,-11.33,5.28,36.36,3303.24,-151.05,1969.51,-21348.88,-44.46,8.56,600.24,-58.77,-11111.28,176.4,49.27,6,-600.43,-633.03,-2200.68,17.16,-111.62,-89.8,-1244.76,44.22,231.12,2.86,3749.82
-121.69,27264.24,3,Rest,-12283,502.61,-63.7,13.92,Medium,172.62,3543.21,-18.54,9.02,227.19,1788.44,250.92,3001.47,-17083.62,-30.78,5.9,398.16,-43.29,-27305.12,-6688.53,44.93,8,170.91,-527.01,-1600.77,17.13,-5.8,-62.82,-2088.76,0.4,190.08,0.97,1304.49
-7.66,31865.67,9,UK,-8578.62,298.3,93.9,19.12,High,148.02,1953.81,-12.29,4.74,197.22,897.24,939.39,3257.55,-20804.78,-33.15,0.38,513.06,-72.54,-7185.52,-17258.91,-50.79,6,-572.94,-748.83,-3699.48,17.18,83.24,-81.01,-1240.28,0.24,220,3.35,105.41
52.94,22647.39,9,UK,-10851.15,40.04,-38.78,12.1,Very high,86.79,2152.29,-15.33,4.54,-44.07,1880,959.43,2022.7,-14812.26,-35.94,11.7,386.88,-32.55,-13534.42,-2056.53,70.86,6,-129.19,-723.42,-3022.86,16.84,30.18,-71.48,-1280.9,17.82,246.76,3.15,2894.06
-36.6,24388.89,12,Europe,-11117.93,44.82,27.84,12.24,Very low,-50.34,1122.63,-9.74,5.56,215.28,1926.34,1460.25,2384.03,-13573.72,-39,0.86,350.13,-94.68,-6948.26,10731.15,54.07,10,-198.22,-483.81,-1850.88,18.06,-39.5,-94.31,-1396.2,29.24,184.14,0.91,-4.52
-48.18,7801.11,6,UK,-7588.72,188.1,-77.12,11.34,Medium,176.82,1771.53,-9.67,9.8,170.52,1922.22,705.93,2488.48,-8494.7,-29.01,6.2,476.31,-64.35,-17302.22,-23656.35,37.01,8,-19.24,-553.83,-4262.7,17.69,21.86,-104.87,-1416.94,1.08,253.34,2.02,1958.62
-62.19,23078.55,15,UK,-17795,-308.93,-84.54,14.1,Very high,193.71,2026.59,-11.49,3.22,78.21,2538.12,-491.82,2444.03,-25758.2,-30.15,6.5,273.84,-87.96,-13679.98,413.79,44.62,10,-36.23,-684.45,-5146.62,19.9,-19.6,-49.25,-2017.94,13788.86,177.86,5.39,3637.67
-79.36,32222.64,15,UK,-13573.88,-174.91,71.06,22.2,Medium,30.39,2956.89,-8.6,2.82,211.68,2034.44,1281.42,1733.26,-15823.68,-30.99,6.4,485.34,-62.55,-15545.98,-12321.33,-20.78,8,-256.54,-317.67,-3509.61,15.23,-14.3,-27.52,-1960.16,0.86,189.64,7.42,-92.79
34.27,17979.9,21,USA,-10834.78,26.2,40.96,11.21,Very low,6.42,1394.97,-9.26,-12.78,11.37,681.22,-149.67,2372.68,-23169.44,-26.64,2,465.78,-85.92,-18636.6,6236.22,26.73,10,-23.03,-611.64,-3731.1,15.3,-40.7,-54.56,-1908.98,41.2,252.98,2.11,225.72
-100.96,18301.44,0,UK,-10362.9,86.48,-4.32,17.68,Low,93.84,1949.04,-9.63,-3.68,-16.2,1695.74,-98.52,2367.91,-13924.82,-38.91,9.64,344.37,-81.21,-16837.86,6171.39,106.59,16,-129.12,-331.83,-7205.13,25.32,-77.68,-47.26,-2481.86,1.46,243.56,2.77,2758.28
63.03,36724.29,21,USA,-10698,-33.59,-33.96,18.92,Very low,135.24,2612.37,-9.97,-10.68,121.68,873.68,1288.05,2477.3,-6281.36,-40.38,6.64,231.99,-76.35,-12999.88,-13352.97,35.4,12,625.73,-641.4,-3722.64,17.37,-52,-119.27,-2088.8,1.2,337.9,7.77,-1617.98
-64.52,18048.09,12,Europe,-6109.53,84.6,76.1,11.29,Low,-101.49,2674.23,-6.02,-9.08,7.17,2100.32,623.04,2837.82,-12110.02,-35.04,5.02,551.73,-68.19,-18526.64,26790.36,-43.34,6,41.39,-510.54,-4164.93,9.36,72.14,-77.46,-1872.64,0.14,369.72,3.41,-128.78
-88,34998.24,12,Europe,-9824.76,740.86,52.96,13.27,Low,139.62,-62.31,-9.96,-0.24,95.82,3187.26,839.73,3030.42,-5750.64,-14.28,9,348.72,-75.51,-22064.12,-16782.3,4.16,8,-953.32,-560.04,-3091.92,21.88,83.84,-67.96,-2323.42,2.22,186.54,2.11,2115.6
-72.6,9083.52,9,USA,-9688.58,318.86,31.34,14.85,Medium,87.51,2498.79,-10.16,5.62,52.8,2760.42,590.07,2333.78,-15069.66,-29.7,9.14,393.93,-68.58,-7738.9,-10908.45,38.3,6,-422.26,-1229.46,-2713.23,25.65,-33.1,-63.2,-2087.22,45417.44,199.9,1.48,2853.55
-64.65,14009.43,15,Europe,-10204.94,265.91,36,12.5,Medium,128.91,1532.16,-7.75,-1.26,96.09,1678.14,-45.18,2302.71,-10826.64,-41.37,0.7,439.38,-68.13,-20213.62,-22182.36,17.35,6,-368.28,-625.32,-2847.57,14.64,30.7,-79.55,-2905.38,56.66,144,5.83,2351.94
-17.47,10475.37,3,Rest,-12576.69,593.27,-27.52,13.58,Very low,46.2,1644.6,-14.57,-7.84,158.16,1467.9,-360.03,2313.7,-18997.48,-31.5,4,539.04,-72.69,-16874.94,3856.86,85.3,10,-338.91,-594.66,-2090.79,14.47,-62.44,-64.42,-2022.46,2.5,174.56,1.04,697.49
-130.45,21767.04,15,Europe,-10914.98,75.58,-28.18,15.85,Medium,62.7,363.3,-12.56,5.16,171.36,2587.3,2232.09,3277.48,-19011.12,-23.16,7.46,452.76,-53.7,-9491.02,4614.51,40.98,12,-552.79,-582.36,-2448.96,12.14,-201.68,-124.14,-2049.06,33.42,170.68,1.78,1367.93
-117.39,10441.14,15,Europe,-11231.8,560,-41.24,13.24,Very high,-0.6,507.48,-11.28,-8.96,1.83,2905.98,115.95,2282.8,-9055.14,-26.43,5.08,286.83,-74.94,-16572.92,-4429.38,87.26,10,-127.45,-561.75,-5407.62,17.24,60.78,19.87,-2154.9,1.12,179.72,1.25,2351.04
-52.45,26575.86,18,Rest,-11607.23,-390.59,24.92,17.79,High,84.39,2433.42,-12.21,-1.78,58.62,397.38,2558.61,2599.7,-9219.44,-28.53,8.88,453.84,-35.04,-21180.7,-13871.16,66.16,6,161.54,-522.69,-4664.4,17.1,110.4,-91.35,-2533.22,0.44,366.82,3.54,429
-90.41,25236.51,9,Rest,-9859.92,145.92,87.48,11.2,Medium,88.23,1248.63,-6.7,0.34,-64.44,3298.66,-99,2855.58,-18734.96,-33.99,6.42,360.36,-70.26,-15100.66,7066.32,167.79,10,-73.38,-500.79,-4560.84,16.29,-82.98,-104.49,-1385.16,4.24,195.62,4.82,223.22
-71.45,7701.84,21,Rest,-16340.84,-209.93,16.6,13.78,Medium,49.17,1695.15,-20.04,-4.44,146.16,1397.5,1096.74,2594.4,-19331.76,-30.84,3.98,480.09,-76.26,-9326.32,-23368.44,48.96,8,591.51,-515.16,-2650.56,10.84,-44.06,-24.61,-1675.4,27.74,152.3,7.78,-149.76
-39.22,24239.52,15,Europe,-7944.83,768.2,-9.88,13.99,Very high,-2.7,1879.62,-10.91,12.22,90.33,1737.26,128.73,2638.74,-9060.76,-41.28,7.26,426.72,-38.58,-25656.88,-14355.87,14.67,8,-482.24,-540.51,-3963.84,16.91,-40.62,-111.79,-2741.84,20.08,258.5,3.9,2839.52
-107.92,30233.13,3,UK,-11633.63,-348.8,33.32,9.36,Medium,282.45,2825.67,-10.78,-8.34,155.79,2310.6,76.32,2295.32,-22061.48,-37.26,9.04,236.46,-61.83,-11247.74,4489.86,102.6,16,-559.41,-590.85,-6788.16,14.13,-53.02,-112.57,-3379.06,0.22,13.42,2.92,3091.09
-80.2,19944.84,12,UK,-11747.92,111.64,3.66,8.33,High,158.88,1979.94,-12.28,-7.48,166.26,1709.1,318.33,1785.4,-21635.86,-47.4,10.98,469.02,-83.79,-21706.32,-1988.07,53.6,10,-82.14,-660.48,-3708.12,18.67,-35.78,-44.6,-1733.12,22.28,269.56,2.59,3051.51
-79.42,7540.23,3,Rest,-7568.02,434.84,19.54,20.8,Very low,104.16,918.93,-13.71,-11.18,271.02,1491.82,350.16,2458.03,-16653.48,-40.77,5.46,420.84,-70.23,-26534.66,-983.4,-25.71,8,-631.6,-307.71,-3863.19,19.48,-186.6,-76.63,-2107.38,54.86,227.24,3.63,1079.07
-85.04,28423.95,12,Rest,-10220.72,476.13,133.78,9.43,Very high,30.99,1896,-8.81,-9.74,135.48,1370.28,-547.2,2072.43,-17662.92,-46.32,3.32,379.26,-66.6,-16452.94,5002.92,56.41,6,-388.25,-481.83,-4303.53,14.22,-5.96,-80.17,-1861.3,3.26,539.24,2.75,831.36
-64.12,32656.05,12,UK,-7370.34,63.34,127.6,12.82,Low,110.19,251.97,-7.24,-1.02,247.56,1721.22,508.83,1836.26,-22585.16,-25.65,12.2,351.45,-67.5,-25916.1,-1184.1,119.04,12,258.39,-526.44,-4184.25,18.9,-46.2,-93.17,-1683.62,0,192.32,3.45,-146.66
-38.56,10262.19,9,UK,-11177.1,604.38,-58.66,13.84,High,-27.87,3979.41,-16.93,11.76,274.05,1511.96,-864.3,2240.34,-21294.28,-38.61,9.4,350.97,-74.1,-18891.58,-7033.71,71.48,12,-118.24,-674.7,-3486.99,14.52,22.74,-97.12,-2594,0.06,181.74,2.87,2005.25
-52.27,17602.86,15,UK,-11828.03,-427.56,14.76,16.42,High,44.1,1365.33,-10.05,-3.12,138.12,2744.92,802.44,2661.74,-9042.28,-24,11.04,356.01,-65.97,-10737.4,-11172.57,57.02,14,-482.44,-550.38,-3052.89,17.39,-42.7,-115.43,-654.76,219.66,236.64,3.24,200
-71.33,22453.74,12,USA,-9822.75,-74.15,-0.94,14.5,Very low,243.57,2262.15,-7.52,1.62,135,1822.8,2310.36,2495.53,-11791.32,-17.49,8.98,274.44,-54.63,-3218.12,-7173.03,56.05,18,241.86,-712.17,-3945.15,16.6,-16.28,-65.73,-1565.76,10.08,227.2,1.04,-359.93
-40.73,19396.02,15,UK,-12086.28,457,-53.56,11.79,Very low,22.05,2155.89,-10.21,-1.14,102.06,3064.84,2181.99,3051.91,-7490.52,-28.5,10.02,100.41,-70.08,-20838.52,2405.16,39.11,6,-406.12,-624.78,-4019.73,21.41,-29.86,-39.59,-1674.84,0.12,171.5,4.48,-104.45
-84.83,25268.55,21,USA,-12649.91,636.4,78.98,18.24,High,48.06,3111.72,-9.09,-6.66,178.74,1898.5,0.78,2252.04,-17926.5,-38.7,3.08,476.43,-68.1,-17063.18,-9950.97,37.3,6,375.34,-675.12,-3801.27,16.5,-44.12,-44.64,-1436.16,283.36,73.14,3.16,1050.35
-75.27,11460.15,6,Rest,-8990.91,547.28,33.4,5.17,Low,203.13,2751.69,-8.72,-6.76,226.53,2421.72,2225.91,2288,-24806.14,-42.3,14.72,362.55,-116.16,-23477.58,-4384.95,67.48,14,176.17,-762.06,-4013.7,17.41,-127.7,-85.32,-1893.06,0.1,203.88,4.67,105.75
-8.48,1482.87,9,Europe,-11900.6,171.96,-18.9,14.9,Very low,-43.59,2117.49,-9.58,-1,135.48,2781.44,1792.77,1806.89,-14647.48,-27.57,2.6,477.63,-68.79,-14189.32,-9158.4,35.91,8,48.38,-897.54,-5362.23,19.88,-129.98,-59.39,-1216.64,58.96,-34.12,5.26,-294.63
-12.36,23983.83,12,UK,-10953.83,529.81,-58.36,10.57,Very low,157.14,2614.08,-10.17,-3.02,128.55,2410.7,2542.2,1844.3,-24199.7,-41.73,6.16,336.03,-75.63,-14201.24,-21410.61,41.44,10,-408.28,-585.03,-4135.62,11,-201.8,-134.8,-2278.88,170.64,130.02,7.65,200.4
-116.55,29197.68,6,USA,-8717.47,349.35,133.38,10.39,Very high,-9.24,908.94,-10.78,4.3,330.33,2606.58,517.11,2145.45,-18829.26,-50.22,10.7,399.6,-66.84,-29060.78,-15280.44,-5.78,4,-264.77,-477.96,-4151.7,15.14,44.82,-112.6,-1617.84,155.36,226.8,3.17,2988.69
-83.21,29239.95,12,UK,-11622.25,676.95,-12.64,17.55,Medium,137.82,232.86,-9.2,-3.62,57.81,2717.52,418.59,2961.75,-15757.86,-30.57,1.5,450.66,-69.33,-1845.94,-6970.47,29.8,14,-283.4,-794.16,-4722.84,9.03,-19.22,-97.36,-1012.78,0.58,189.6,1.12,-103.55
-76.51,26644.23,15,UK,-11519.8,684.83,-37.82,14.36,Medium,136.11,851.79,-5.37,-0.44,284.13,2070.04,1046.22,3492.74,-28045.34,-38.82,12.44,337.77,-61.98,-14552.22,9427.74,127.26,6,-426.08,-530.64,-2818.26,24.84,-199.64,-109.94,-834.14,4.86,202.04,2.83,67.59
-83.98,25025.88,9,Rest,-13014.77,217.95,52.08,15.63,High,-58.53,639.87,-10.21,7,296.4,2749.36,68.73,1711.64,-20643.94,-24.9,11.78,317.07,-45.27,-30931.24,-6049.98,33.55,6,-597.56,-709.77,-3411.12,9.73,-19.42,-92.04,-1948.04,0.7,240.68,3.16,1089.42
-77.19,9575.73,18,Rest,-9187.9,-571.61,-105.26,15.28,Very high,218.88,-1106.88,-6.43,-11.34,149.22,1685.78,537.21,2671.36,-22218.26,-36.72,5.76,327.36,-82.29,-12736.14,-12798.3,39.8,2,-238.76,-602.76,-4768.92,3.12,-50.58,-105.32,-1939.66,0.2,64.68,6.09,99.45
-164.41,28105.86,18,USA,-10685.78,103.84,20.46,15.76,Medium,-74.73,2167.56,-11.83,-4.26,285.33,2943.1,787.95,2267.23,-13474.22,-25.5,3.32,380.43,-69.99,-16170.38,-21568.74,67.73,6,-40.51,-591.06,-2732.58,13.42,-78.32,-62.83,-2982.98,14.52,13.82,2.7,1724.24
-77.89,15638.67,12,Rest,-11450.7,547.53,6.64,8.9,Low,-0.24,1263.54,-11.89,1.16,177.6,1745.72,505.02,2810.34,-19312.88,-24.51,1.2,343.65,-58.89,-18123.06,8090.1,42.5,6,-282.02,-587.97,-4761.06,17.27,49.02,-115.86,-2211.76,1011.22,240.18,1.48,1381.59
-65.87,30993.54,15,Europe,-9213.02,-276.91,51.6,12.55,Low,150.33,2858.28,-7.51,-0.46,214.41,1807.04,-1650.21,2030.58,-23896.1,-26.37,3.64,336.03,-66.39,-14502.54,-15555.69,27.93,4,-850.8,-798.12,-4917.99,15.68,-209.64,-104.11,-3056.1,0.02,128.48,5.42,-581.96
-67.33,21724.86,9,UK,-13530.75,-262.6,208.16,15.15,Very low,186.87,1120.35,-13.27,-1.22,50.79,1866.16,1350.03,1888.67,-19215.6,-43.62,9.14,341.76,-46.35,-18170.68,-10047.33,-13.51,10,-101.37,-537.39,-4594.41,18.88,-103.92,-117.18,-1579.78,2.16,166.42,5.2,-44.74
-71.64,20881.41,9,Rest,-11001.63,597,-1.9,13.15,Low,-40.14,1601.46,-6.07,-0.7,202.74,2080.66,453.27,2645.04,-10868.54,-26.58,6.3,368.85,-69.93,-12335.86,-25024.98,47.72,10,-225.63,-825.84,-1800.33,18.2,6.76,-124.31,-1946.32,0,280.22,4.12,-138.17
-101.06,7051.92,18,Rest,-11860.11,577.58,22.68,14.3,Low,-15.96,433.44,-18.38,8.56,128.82,472.04,642.66,2232.08,-3084.58,-43.92,9.08,395.22,-74.82,-10827.16,3588.51,67.07,6,-81,-567.57,-3254.01,16.33,-124.66,-119.42,-1397.42,1.32,296.98,4.15,-148.06
-62.4,22432.08,6,Rest,-15214.07,98.92,6.4,16.56,Very high,-84.87,1731.3,-8.15,-10.54,27.33,2371.94,2179.47,2524.51,-6250.02,-41.4,5.58,247.05,-63.78,-21912.36,1508.13,36.05,8,-146.08,-365.88,-4086.21,6.51,-51.52,-122.18,-1297.08,0.36,214.7,3.82,630.78
18.66,12239.28,9,USA,-6928.08,562.84,19.44,15.83,Medium,-26.67,1661.58,-10.18,1.3,65.37,2701.92,80.88,2579.29,-8789.84,-21.39,7.62,548.16,-82.92,-15968.94,-8022.87,239.74,8,-165.94,-649.29,-3965.85,12.77,72.04,-62.19,-2117.36,0.06,162.66,1.82,899.81
-19.46,22257.72,9,Rest,-7963.02,201.36,83.78,11.27,Low,-139.53,2058.3,-16.81,-2,95.58,1146.24,-760.41,2260.23,-10074.7,-29.52,6.26,622.08,-56.19,-12702.18,-23055.93,-60.13,6,-8.58,-550.47,-5593.41,18.52,-101.54,-87.02,-2020.38,0.28,114.18,4.55,96.81
-59.58,34378.08,12,USA,-12300.84,14.26,-101.26,15.51,Very low,212.37,3365.55,-19.48,-2.4,77.37,2008.96,-203.4,2129.8,-16413.2,-40.83,9.46,250.38,-70.86,-13163.12,-13484.82,85.09,0,-467.82,-710.64,-3414.21,15.73,-29.2,-95.61,-2809.22,73.1,8.84,3.27,1718.51
-87.8,23237.64,21,Europe,-15140.95,35.45,-31.76,17.34,High,-106.83,1342.65,-9.55,-4.7,252,2245.7,1410.69,2339.93,-9666.12,-26.85,6.88,316.56,-67.41,-14589.84,-2782.29,65.4,12,-418.67,-497.97,-3109.53,12.75,-112.88,-98.85,-1901.62,0.06,150.6,6.21,-1396.93
-70.75,21397.65,15,Rest,-10330.51,121.18,127.12,14.07,Very high,163.41,2449.08,-10.1,2.6,150.09,2243.72,2131.44,3268.44,-30579.76,-44.28,6.6,323.13,-65.25,-18474.66,7561.59,0.52,12,49.48,-475.77,-4009.74,15.98,-53.26,-85.27,-1090.22,2.28,280.26,4.03,168.22
-61.35,27560.88,12,USA,-7486.92,257.45,32.86,24.68,Very high,29.7,3058.29,-7.98,-5.08,107.58,1853.36,181.95,2530.54,-18388.38,-36.27,4.72,301.5,-63.09,-18176.12,6.84,16.92,6,73.8,-347.07,-3355.59,16.64,-123.32,-111.75,-2199.26,4.26,175.28,5.5,1377.59
-76.45,14502.15,12,USA,-2079.55,199.12,177.76,17.39,High,160.26,1188.75,-10.09,5.44,158.22,2350.32,2198.73,2314.41,-18739.42,-26.19,2.04,375,-77.01,-14738.02,8278.14,-1.62,2,-132.49,-757.35,-3200.22,12.01,-47.92,-60.04,-2221.34,0.08,113.42,2.83,1174.69
-60.5,33751.41,12,UK,-14102.43,377.89,-19.52,12.82,Very low,47.34,2922.21,-10.65,2.18,12,1715.42,1293.24,2357.69,-15974.48,-31.5,2.46,344.16,-67.89,-12885.62,-3590.19,39.72,8,90.8,-436.98,-5425.11,13.92,84.98,-19.36,-2483.22,41.72,177.24,2.61,2147.25
-4.72,24301.89,9,USA,-11330.92,-154.38,75.3,12.23,Medium,86.19,1848.54,-5.09,1.96,102.54,2015.28,842.31,2445.09,-8604.94,-30.75,1.2,365.52,-67.74,-31423.86,-8829.93,-104.75,8,0.81,-595.41,-4880.52,19.65,-33.18,-91.08,-3268.56,30.6,158.62,4.36,2775.93
-26,25077.36,15,USA,-13829.17,-119.37,-56.36,14.77,Very low,119.73,1461.06,-4.92,8,186.36,2088.84,1395.3,1532.42,-17779.32,-19.92,0.72,353.58,-68.58,-20947.88,1005.78,76.03,6,-1004.34,-788.79,-4984.11,15.04,116.26,-61,-2663.88,5.28,246.6,7.49,269.38
-45.96,13339.71,3,UK,-16061.91,240.4,7.14,11.64,High,148.35,2016.72,-10.56,5.12,111.21,2350.06,205.98,3210.13,-15085.78,-29.46,13.82,314.43,-73.59,-7410.84,-13117.74,66.29,6,-487.2,-476.01,-3730.77,11.34,-130.38,-109.74,-1958.08,2.44,224.1,4.31,2591.69
-61.05,15876.39,9,USA,-7953.26,219.42,-31.34,25.05,Low,115.32,2971.2,-6.42,-1.48,9.99,2157.08,1057.02,2412.12,-26824.94,-44.76,11.76,434.88,-84.21,-19136.64,-4586.13,39.08,10,-119.12,-736.53,-1695.15,22.42,-255.3,-83.12,-3116.94,194.26,156.88,2.9,2326.98
-28.78,41391.72,15,USA,-8064.28,-384.84,-6.08,16.66,Low,69,1804.59,-18.8,1.98,120.42,2182.58,629.07,2095.98,-17612.7,-31.89,2.88,144.57,-69.99,-9512.72,-5889.72,32.79,4,110.13,-531.72,-5109.63,14.11,-37.06,-18.64,-2626.54,757.32,197.44,7.88,849.12
-65.13,29333.94,9,Europe,-6888.35,280.33,-77.84,11.67,Very low,-60.96,-46.14,-4.91,0.62,151.47,1320.04,-14.28,1642.89,-8425.24,-46.32,20.88,667.14,-72.33,-16806.22,-10271.22,-49.51,4,-154.07,-523.98,-3975.75,15.25,-52.14,-66.95,-1840.64,49.82,256.4,3.54,1344.66
-68.07,19986.27,9,Rest,-8199.93,350.83,-54.4,14.49,Very low,-30.45,1701.24,-4.14,-0.2,235.17,2330.92,332.79,2806.16,-25357.96,-30.84,9.56,398.13,-62.88,-16943.6,117.12,29.86,6,-239.86,-361.32,-3237.63,17.17,-78.48,-79.23,-1432.84,2.76,197.36,1.46,340.18
-63.78,19347.06,18,UK,-7982.74,97.18,-12.4,10.58,High,158.97,1734.9,-17.35,10.6,283.86,1749.96,-790.02,2380.08,-31660.36,-24.51,8.8,351.96,-64.38,-6076.52,-14627.1,139.44,10,85.6,-647.4,-6521.76,23.28,-66.24,-74.06,-729.26,0.04,210.72,3.41,-158.71
-45.09,34697.04,12,USA,-11337.49,-477.75,-0.6,13.38,Low,102.69,1814.73,-2.11,-9.02,136.47,1803.98,610.86,2920.61,-17156.6,-19.62,15.76,242.79,-51.99,-22621.9,-23476.53,-0.34,8,-476.61,-588.18,-3842.46,17.6,-142.78,-100.19,-2252.18,7.24,201.18,5.55,705.78
-53.03,24541.14,6,Rest,-9110.7,324.7,-114.46,18.55,Low,70.98,735.87,-12.27,2.3,124.56,2112.4,1041.81,2595.01,-18733.04,-50.7,9.08,180.54,-74.73,-28049.68,3437.76,34.21,6,-644.38,-553.62,-4203,16.03,-135.02,-81.83,-2340.46,0.36,129.34,6.63,446.77
-62.79,18001.77,15,UK,-5539.42,-70.28,-11.98,12.35,High,124.68,257.82,-19.21,-0.82,105.09,2639.02,2014.47,2616.53,-20641.54,-41.52,5.64,437.28,-97.56,-14662.66,-3816.12,-15.41,6,-42.45,-525.03,-4745.55,17.67,-63.62,-115.55,-1851.26,3.48,173.24,6.37,396.38
-18.83,31585.29,18,Rest,-8440.41,91.96,-93.44,17.68,High,48.09,500.01,-5.91,-2.46,157.65,1557.16,344.07,2155.56,-21683.7,-39.09,8.1,323.58,-71.16,-21389.38,6398.73,70.28,10,-464.17,-573.3,-3966.66,18.72,-146.36,-93.54,-2116.52,1.58,126.34,6.31,116.79
-138.71,22246.29,15,Europe,-8570.75,-27.24,18.84,11.05,High,98.55,1940.61,-8.65,2.98,374.58,2179.96,1764.09,2793.74,-22637.44,-31.74,5.5,321.81,-66.24,-25001.06,9467.04,-62.97,4,-291.88,-679.35,-4183.05,17.05,-32.26,-81.77,-2002.98,474.72,156.92,9.64,1719.67
